[1340495327(TR: 10.91103, TS: 10.55180) -> {880680199=470, 1689826712=213, 1119091505=213, 1998680479=213}]
[47228915(TR: 10.91106, TS: 10.54958) -> {880680199=553, 1689826712=246, 1119091505=238, 1998680479=238, 1720288815=3, 1236336798=3, 55964929=3, 1313328519=2, 426551051=2, 1561859852=2, 2138915098=1, 338809723=1, 1509037246=1, 184418917=1}]
[973062165(TR: 10.91115, TS: 10.57802) -> {880680199=144, 1689826712=64, 1119091505=64, 1998680479=64}]
[50481258(TR: 10.91122, TS: 10.47463) -> {880680199=166, 1689826712=75, 1119091505=75, 1998680479=75}]
[2117578104(TR: 10.91151, TS: 10.61423) -> {880680199=660, 1689826712=294, 1119091505=278, 1998680479=277, 55964929=12, 1720288815=9, 1236336798=9, 1313328519=8, 1561859852=5, 869939083=3, 635680347=3, 426551051=2, 2138915098=1, 338809723=1, 1509037246=1, 184418917=1}]
[2044686962(TR: 10.91155, TS: 10.54960) -> {880680199=144, 1689826712=64, 1119091505=64, 1998680479=64}]
[1046997556(TR: 10.91157, TS: 10.50732) -> {880680199=356, 1689826712=158, 1119091505=158, 1998680479=158}]
[792179850(TR: 10.91166, TS: 10.55469) -> {880680199=771, 1689826712=343, 1119091505=319, 1998680479=318, 55964929=15, 1720288815=12, 1236336798=12, 1313328519=10, 1561859852=7, 426551051=4, 869939083=3, 635680347=3, 2138915098=2, 338809723=2, 1509037246=2, 184418917=2}]
[1822982265(TR: 10.91174, TS: 10.55268) -> {880680199=94, 1689826712=43, 1119091505=43, 1998680479=43}]
[1852191612(TR: 10.91187, TS: 10.52503) -> {880680199=72, 1689826712=32, 1119091505=32, 1998680479=32}]
[1867596494(TR: 10.91196, TS: 10.48971) -> {880680199=94, 1689826712=43, 1119091505=43, 1998680479=43}]
[2102409290(TR: 10.91201, TS: 10.54961) -> {880680199=144, 1689826712=64, 1119091505=64, 1998680479=64}]
[1431553233(TR: 10.91201, TS: 10.54961) -> {880680199=72, 1689826712=32, 1119091505=32, 1998680479=32}]
[183623892(TR: 10.91206, TS: 10.51081) -> {880680199=204, 1689826712=90, 1119091505=90, 1998680479=90}]
[1867748470(TR: 10.91213, TS: 10.56831) -> {880680199=188, 1689826712=86, 1119091505=86, 1998680479=86}]
[331183038(TR: 10.91223, TS: 10.54928) -> {880680199=166, 1689826712=75, 1119091505=75, 1998680479=75}]
[1476614228(TR: 10.91224, TS: 10.59768) -> {880680199=192, 1689826712=88, 1119091505=88, 1998680479=88}]
[1567745216(TR: 10.91255, TS: 10.55886) -> {880680199=332, 1689826712=150, 1119091505=150, 1998680479=150}]
