[674734329(TR: 9.42521, TS: 8.85532) -> {880680199=42678798, 1689826712=19181647, 1119091505=19110911, 1998680479=19106490, 55964929=53052, 1720288815=39789, 1236336798=39789, 1313328519=35368, 1561859852=22105, 869939083=13263, 635680347=13263, 426551051=8842, 2138915098=4421, 338809723=4421, 1509037246=4421, 184418917=4421}]
[717554193(TR: 9.42521, TS: 8.85532) -> {880680199=26326840, 1689826712=11833100, 1119091505=11790076, 1998680479=11787387, 55964929=32268, 1720288815=24201, 1236336798=24201, 1313328519=21512, 1561859852=13445, 869939083=8067, 635680347=8067, 426551051=5378, 2138915098=2689, 338809723=2689, 1509037246=2689, 184418917=2689}]
[88366572(TR: 9.42528, TS: 8.97792) -> {880680199=73635414, 1689826712=33093813, 1119091505=32970997, 1998680479=32963321, 55964929=92112, 1720288815=69084, 1236336798=69084, 1313328519=61408, 1561859852=38380, 869939083=23028, 635680347=23028, 426551051=15352, 2138915098=7676, 338809723=7676, 1509037246=7676, 184418917=7676}]
[1180325566(TR: 9.42532, TS: 8.85503) -> {880680199=20773290, 1689826712=9336939, 1119091505=9302971, 1998680479=9300848, 55964929=25476, 1720288815=19107, 1236336798=19107, 1313328519=16984, 1561859852=10615, 869939083=6369, 635680347=6369, 426551051=4246, 2138915098=2123, 338809723=2123, 1509037246=2123, 184418917=2123}]
[1409222372(TR: 9.42549, TS: 8.95730) -> {880680199=189622736, 1689826712=85221048, 1119091505=84903832, 1998680479=84884006, 55964929=237912, 1720288815=178434, 1236336798=178434, 1313328519=158608, 1561859852=99130, 869939083=59478, 635680347=59478, 426551051=39652, 2138915098=19826, 338809723=19826, 1509037246=19826, 184418917=19826}]
[1369981696(TR: 9.42565, TS: 8.96407) -> {880680199=38566158, 1689826712=17333191, 1119091505=17269255, 1998680479=17265259, 55964929=47952, 1720288815=35964, 1236336798=35964, 1313328519=31968, 1561859852=19980, 869939083=11988, 635680347=11988, 426551051=7992, 2138915098=3996, 338809723=3996, 1509037246=3996, 184418917=3996}]
[1982128100(TR: 9.42572, TS: 8.95567) -> {880680199=129918634, 1689826712=58387889, 1119091505=58170001, 1998680479=58156383, 55964929=163416, 1720288815=122562, 1236336798=122562, 1313328519=108944, 1561859852=68090, 869939083=40854, 635680347=40854, 426551051=27236, 2138915098=13618, 338809723=13618, 1509037246=13618, 184418917=13618}]
[1650432056(TR: 9.42573, TS: 8.85489) -> {880680199=118952150, 1689826712=53460445, 1119091505=53262061, 1998680479=53249662, 55964929=148788, 1720288815=111591, 1236336798=111591, 1313328519=99192, 1561859852=61995, 869939083=37197, 635680347=37197, 426551051=24798, 2138915098=12399, 338809723=12399, 1509037246=12399, 184418917=12399}]
[1237084849(TR: 9.42578, TS: 8.85424) -> {880680199=56423836, 1689826712=25358954, 1119091505=25265274, 1998680479=25259419, 55964929=70260, 1720288815=52695, 1236336798=52695, 1313328519=46840, 1561859852=29275, 869939083=17565, 635680347=17565, 426551051=11710, 2138915098=5855, 338809723=5855, 1509037246=5855, 184418917=5855}]
[1512014021(TR: 9.42580, TS: 8.83804) -> {880680199=21905508, 1689826712=9844708, 1119091505=9807940, 1998680479=9805642, 55964929=27576, 1720288815=20682, 1236336798=20682, 1313328519=18384, 1561859852=11490, 869939083=6894, 635680347=6894, 426551051=4596, 2138915098=2298, 338809723=2298, 1509037246=2298, 184418917=2298}]
[177520541(TR: 9.42581, TS: 8.88898) -> {880680199=146022934, 1689826712=65626003, 1119091505=65381683, 1998680479=65366413, 55964929=183240, 1720288815=137430, 1236336798=137430, 1313328519=122160, 1561859852=76350, 869939083=45810, 635680347=45810, 426551051=30540, 2138915098=15270, 338809723=15270, 1509037246=15270, 184418917=15270}]
[336881839(TR: 9.42597, TS: 8.84147) -> {880680199=86424068, 1689826712=38842146, 1119091505=38698482, 1998680479=38689503, 55964929=107748, 1720288815=80811, 1236336798=80811, 1313328519=71832, 1561859852=44895, 869939083=26937, 635680347=26937, 426551051=17958, 2138915098=8979, 338809723=8979, 1509037246=8979, 184418917=8979}]
[1054306686(TR: 9.42614, TS: 8.85463) -> {880680199=103001348, 1689826712=46291920, 1119091505=46120336, 1998680479=46109612, 55964929=128688, 1720288815=96516, 1236336798=96516, 1313328519=85792, 1561859852=53620, 869939083=32172, 635680347=32172, 426551051=21448, 2138915098=10724, 338809723=10724, 1509037246=10724, 184418917=10724}]
[417912777(TR: 9.42643, TS: 8.84746) -> {880680199=21905508, 1689826712=9844708, 1119091505=9807940, 1998680479=9805642, 55964929=27576, 1720288815=20682, 1236336798=20682, 1313328519=18384, 1561859852=11490, 869939083=6894, 635680347=6894, 426551051=4596, 2138915098=2298, 338809723=2298, 1509037246=2298, 184418917=2298}]
[934279966(TR: 9.42656, TS: 8.94486) -> {880680199=40622806, 1689826712=18256783, 1119091505=18188847, 1998680479=18184601, 55964929=50952, 1720288815=38214, 1236336798=38214, 1313328519=33968, 1561859852=21230, 869939083=12738, 635680347=12738, 426551051=8492, 2138915098=4246, 338809723=4246, 1509037246=4246, 184418917=4246}]
[13216852(TR: 9.42658, TS: 8.86197) -> {880680199=21905508, 1689826712=9844708, 1119091505=9807940, 1998680479=9805642, 55964929=27576, 1720288815=20682, 1236336798=20682, 1313328519=18384, 1561859852=11490, 869939083=6894, 635680347=6894, 426551051=4596, 2138915098=2298, 338809723=2298, 1509037246=2298, 184418917=2298}]
[93348274(TR: 9.42660, TS: 8.84278) -> {880680199=114509604, 1689826712=51464264, 1119091505=51273656, 1998680479=51261743, 55964929=142956, 1720288815=107217, 1236336798=107217, 1313328519=95304, 1561859852=59565, 869939083=35739, 635680347=35739, 426551051=23826, 2138915098=11913, 338809723=11913, 1509037246=11913, 184418917=11913}]
[1528346710(TR: 9.42680, TS: 8.85597) -> {880680199=97046642, 1689826712=43615737, 1119091505=43454121, 1998680479=43444020, 55964929=121212, 1720288815=90909, 1236336798=90909, 1313328519=80808, 1561859852=50505, 869939083=30303, 635680347=30303, 426551051=20202, 2138915098=10101, 338809723=10101, 1509037246=10101, 184418917=10101}]
[329764640(TR: 9.42761, TS: 8.94548) -> {880680199=87200318, 1689826712=39189749, 1119091505=39043909, 1998680479=39034794, 55964929=109380, 1720288815=82035, 1236336798=82035, 1313328519=72920, 1561859852=45575, 869939083=27345, 635680347=27345, 426551051=18230, 2138915098=9115, 338809723=9115, 1509037246=9115, 184418917=9115}]
[1589737996(TR: 9.42779, TS: 8.83283) -> {880680199=60471666, 1689826712=27177899, 1119091505=27077195, 1998680479=27070901, 55964929=75528, 1720288815=56646, 1236336798=56646, 1313328519=50352, 1561859852=31470, 869939083=18882, 635680347=18882, 426551051=12588, 2138915098=6294, 338809723=6294, 1509037246=6294, 184418917=6294}]
[1482300823(TR: 9.42785, TS: 8.87352) -> {880680199=43811016, 1689826712=19689416, 1119091505=19615880, 1998680479=19611284, 55964929=55152, 1720288815=41364, 1236336798=41364, 1313328519=36768, 1561859852=22980, 869939083=13788, 635680347=13788, 426551051=9192, 2138915098=4596, 338809723=4596, 1509037246=4596, 184418917=4596}]
[1176421570(TR: 9.42797, TS: 8.90751) -> {880680199=260665028, 1689826712=117149082, 1119091505=116713162, 1998680479=116685917, 55964929=326940, 1720288815=245205, 1236336798=245205, 1313328519=217960, 1561859852=136225, 869939083=81735, 635680347=81735, 426551051=54490, 2138915098=27245, 338809723=27245, 1509037246=27245, 184418917=27245}]
[1802358254(TR: 9.42802, TS: 8.88019) -> {880680199=23712104, 1689826712=10656992, 1119091505=10617504, 1998680479=10615036, 55964929=29616, 1720288815=22212, 1236336798=22212, 1313328519=19744, 1561859852=12340, 869939083=7404, 635680347=7404, 426551051=4936, 2138915098=2468, 338809723=2468, 1509037246=2468, 184418917=2468}]
[1042926485(TR: 9.42813, TS: 9.02881) -> {880680199=43811016, 1689826712=19689416, 1119091505=19615880, 1998680479=19611284, 55964929=55152, 1720288815=41364, 1236336798=41364, 1313328519=36768, 1561859852=22980, 869939083=13788, 635680347=13788, 426551051=9192, 2138915098=4596, 338809723=4596, 1509037246=4596, 184418917=4596}]
[907534178(TR: 9.42834, TS: 8.90174) -> {880680199=70620778, 1689826712=31739345, 1119091505=31621761, 1998680479=31614412, 55964929=88188, 1720288815=66141, 1236336798=66141, 1313328519=58792, 1561859852=36745, 869939083=22047, 635680347=22047, 426551051=14698, 2138915098=7349, 338809723=7349, 1509037246=7349, 184418917=7349}]
