[2145889944(TR: 10.53192, TS: 10.06236) -> {880680199=6318, 2087390487=162}]
[128742405(TR: 10.53194, TS: 10.00830) -> {880680199=1638, 2087390487=42}]
[315827536(TR: 10.53198, TS: 10.00675) -> {880680199=1092, 2087390487=28}]
[206704999(TR: 10.53201, TS: 10.03718) -> {880680199=546, 2087390487=14}]
[1308884251(TR: 10.53259, TS: 10.08704) -> {880680199=1638, 2087390487=42}]
[720086146(TR: 10.53268, TS: 10.11508) -> {880680199=2184, 2087390487=56}]
[555347242(TR: 10.53269, TS: 10.05487) -> {880680199=5976, 2087390487=154}]
[1037830471(TR: 10.53270, TS: 10.03681) -> {880680199=6318, 2087390487=162}]
[1818677442(TR: 10.53277, TS: 10.05160) -> {880680199=5430, 2087390487=140}]
[459191928(TR: 10.53288, TS: 10.05785) -> {880680199=4368, 2087390487=112}]
[1967159428(TR: 10.53289, TS: 10.06500) -> {880680199=1092, 2087390487=28}]
[680251738(TR: 10.53290, TS: 10.04802) -> {880680199=8496, 2087390487=219}]
[1924265033(TR: 10.53309, TS: 10.03796) -> {880680199=1638, 2087390487=42}]
[481456401(TR: 10.53324, TS: 10.10650) -> {880680199=2676, 2087390487=69}]
[1782623835(TR: 10.53325, TS: 10.05423) -> {880680199=1638, 2087390487=42}]
[473408328(TR: 10.53342, TS: 10.06856) -> {880680199=1638, 2087390487=42}]
[1633226555(TR: 10.53347, TS: 10.08096) -> {880680199=3276, 2087390487=84}]
[1861009656(TR: 10.53353, TS: 10.10061) -> {880680199=4680, 2087390487=120}]
[28416264(TR: 10.53370, TS: 9.99510) -> {880680199=546, 2087390487=14}]
[540886933(TR: 10.53381, TS: 10.08410) -> {880680199=8628, 2087390487=222}]
[162837630(TR: 10.53386, TS: 10.07966) -> {880680199=4680, 2087390487=120}]
[30887600(TR: 10.53398, TS: 10.01428) -> {880680199=1092, 2087390487=28}]
[212069979(TR: 10.53399, TS: 9.98308) -> {880680199=1092, 2087390487=28}]
[1181221301(TR: 10.53400, TS: 10.09163) -> {880680199=1638, 2087390487=42}]
[1783843394(TR: 10.53405, TS: 10.01201) -> {880680199=2184, 2087390487=56}]
[1363819382(TR: 10.53406, TS: 10.01200) -> {880680199=1092, 2087390487=28}]
[1116263986(TR: 10.53406, TS: 10.03878) -> {880680199=1092, 2087390487=28}]
[1147867775(TR: 10.53414, TS: 10.12600) -> {880680199=5430, 2087390487=140}]
[874140138(TR: 10.53419, TS: 10.03795) -> {880680199=546, 2087390487=14}]
[881548692(TR: 10.53421, TS: 10.06795) -> {880680199=10890, 2087390487=280}]
[817247345(TR: 10.53424, TS: 10.08090) -> {880680199=10212, 2087390487=263}]
[751972594(TR: 10.53431, TS: 10.10707) -> {880680199=1638, 2087390487=42}]
[1243718019(TR: 10.53440, TS: 10.07875) -> {880680199=10758, 2087390487=277}]
[615002798(TR: 10.53453, TS: 10.06725) -> {880680199=6522, 2087390487=168}]
[633114614(TR: 10.53454, TS: 10.04548) -> {880680199=4134, 2087390487=106}]
[408186387(TR: 10.53456, TS: 10.07543) -> {880680199=8628, 2087390487=222}]
[1597962531(TR: 10.53462, TS: 10.05899) -> {880680199=11358, 2087390487=292}]
[988187944(TR: 10.53464, TS: 10.07761) -> {880680199=1092, 2087390487=28}]
[2070177469(TR: 10.53473, TS: 10.07534) -> {880680199=2184, 2087390487=56}]
[1090235188(TR: 10.53473, TS: 10.05066) -> {880680199=10314, 2087390487=266}]
[1755624937(TR: 10.53507, TS: 10.07390) -> {880680199=1638, 2087390487=42}]
[1722149400(TR: 10.53511, TS: 10.00677) -> {880680199=546, 2087390487=14}]
[1043085823(TR: 10.53527, TS: 10.16948) -> {880680199=546, 2087390487=14}]
[588482309(TR: 10.53531, TS: 10.04002) -> {880680199=546, 2087390487=14}]
[1859482995(TR: 10.53538, TS: 10.02917) -> {880680199=1638, 2087390487=42}]
[661239707(TR: 10.53552, TS: 10.00293) -> {880680199=546, 2087390487=14}]
[2018869576(TR: 10.53553, TS: 10.06003) -> {880680199=3276, 2087390487=84}]
[1203833576(TR: 10.53560, TS: 10.03968) -> {880680199=2184, 2087390487=56}]
[49971598(TR: 10.53560, TS: 10.01610) -> {880680199=1638, 2087390487=42}]
[1757752101(TR: 10.53570, TS: 10.03440) -> {880680199=2184, 2087390487=56}]
[1011792052(TR: 10.53593, TS: 10.06232) -> {880680199=1638, 2087390487=42}]
[1930916767(TR: 10.53611, TS: 10.05188) -> {880680199=12200, 2087390487=316, 1689826712=1, 289890178=1, 597022555=1}]
[632781442(TR: 10.53614, TS: 10.17337) -> {880680199=546, 2087390487=14}]
[1684726034(TR: 10.53622, TS: 10.05914) -> {880680199=1638, 2087390487=42}]
[757628467(TR: 10.53627, TS: 10.04925) -> {880680199=10266, 2087390487=264}]
[1701538690(TR: 10.53632, TS: 10.04357) -> {880680199=8496, 2087390487=219}]
[2073456327(TR: 10.53642, TS: 10.04286) -> {880680199=8496, 2087390487=219}]
[1221026518(TR: 10.53644, TS: 10.00501) -> {880680199=546, 2087390487=14}]
[653280283(TR: 10.53653, TS: 10.05140) -> {880680199=1092, 2087390487=28}]
[418974780(TR: 10.53674, TS: 10.02481) -> {880680199=546, 2087390487=14}]
[1347533234(TR: 10.53678, TS: 10.07905) -> {880680199=1092, 2087390487=28}]
[594784444(TR: 10.53689, TS: 10.04527) -> {880680199=8496, 2087390487=219}]
[117958741(TR: 10.53690, TS: 10.04660) -> {880680199=9042, 2087390487=233}]
[1464835173(TR: 10.53695, TS: 10.06108) -> {880680199=1638, 2087390487=42}]
[168702743(TR: 10.53709, TS: 10.05927) -> {880680199=2730, 2087390487=70}]
[885429434(TR: 10.53711, TS: 10.04100) -> {880680199=8160, 2087390487=210}]
[213620535(TR: 10.53725, TS: 10.07963) -> {880680199=2184, 2087390487=56}]
[666668657(TR: 10.53737, TS: 10.12174) -> {880680199=4368, 2087390487=112}]
[1548846874(TR: 10.53747, TS: 10.09991) -> {880680199=2184, 2087390487=56}]
[1546828654(TR: 10.53759, TS: 10.03639) -> {880680199=5430, 2087390487=140}]
[216042992(TR: 10.53765, TS: 10.08844) -> {880680199=2184, 2087390487=56}]
[1332495643(TR: 10.53766, TS: 10.13243) -> {880680199=546, 2087390487=14}]
[525693627(TR: 10.53769, TS: 10.07585) -> {880680199=5382, 2087390487=138}]
[1458918388(TR: 10.53781, TS: 9.98514) -> {880680199=1092, 2087390487=28}]
[1584585687(TR: 10.53783, TS: 10.02259) -> {880680199=2184, 2087390487=56}]
[1931151775(TR: 10.53785, TS: 10.03980) -> {880680199=7950, 2087390487=205}]
[1198484973(TR: 10.53786, TS: 10.06580) -> {880680199=1638, 2087390487=42}]
[1006234631(TR: 10.53789, TS: 10.11095) -> {880680199=546, 2087390487=14}]
[1939678412(TR: 10.53791, TS: 10.10926) -> {880680199=1092, 2087390487=28}]
[1482792145(TR: 10.53801, TS: 10.04074) -> {880680199=6522, 2087390487=168}]
[1692242485(TR: 10.53802, TS: 10.06790) -> {880680199=1092, 2087390487=28}]
[280019837(TR: 10.53806, TS: 10.05551) -> {880680199=9042, 2087390487=233}]
[168902371(TR: 10.53818, TS: 10.06075) -> {880680199=6630, 2087390487=170}]
[1589816420(TR: 10.53820, TS: 10.08197) -> {880680199=4836, 2087390487=124}]
