[276899828(TR: 11.09053, TS: 10.69387) -> {880680199=1506, 2087390487=39}]
[1061801728(TR: 11.09057, TS: 10.61648) -> {880680199=390, 2087390487=10}]
[1183930098(TR: 11.09059, TS: 10.73144) -> {880680199=1584, 2087390487=41}]
[1929759900(TR: 11.09063, TS: 10.70914) -> {880680199=1506, 2087390487=39}]
[1780677519(TR: 11.09067, TS: 10.70502) -> {880680199=1350, 2087390487=35}]
[467802116(TR: 11.09072, TS: 10.56818) -> {880680199=156, 2087390487=4}]
[1468595020(TR: 11.09077, TS: 10.70907) -> {880680199=312, 2087390487=8}]
[179616781(TR: 11.09084, TS: 10.70032) -> {880680199=546, 2087390487=14}]
[2008531031(TR: 11.09085, TS: 10.72647) -> {880680199=1062, 2087390487=28}]
[2090779805(TR: 11.09089, TS: 10.63064) -> {880680199=702, 2087390487=18}]
[1826362073(TR: 11.09094, TS: 10.76212) -> {880680199=1194, 2087390487=31}]
[1126666139(TR: 11.09097, TS: 10.66763) -> {880680199=546, 2087390487=14}]
[182143696(TR: 11.09098, TS: 10.72742) -> {880680199=624, 2087390487=16}]
[7068986(TR: 11.09105, TS: 10.73605) -> {880680199=936, 2087390487=24}]
[204295476(TR: 11.09109, TS: 10.68542) -> {880680199=1584, 2087390487=41}]
[1929986173(TR: 11.09111, TS: 10.71056) -> {880680199=468, 2087390487=12}]
[592709894(TR: 11.09114, TS: 10.76764) -> {880680199=624, 2087390487=16}]
[2106102363(TR: 11.09116, TS: 10.76890) -> {880680199=858, 2087390487=22}]
[464135219(TR: 11.09120, TS: 10.67826) -> {880680199=1092, 2087390487=28}]
[580490643(TR: 11.09134, TS: 10.67749) -> {880680199=858, 2087390487=22}]
[562472191(TR: 11.09135, TS: 10.67688) -> {880680199=312, 2087390487=8}]
[405135582(TR: 11.09136, TS: 10.74566) -> {880680199=624, 2087390487=16}]
[1382339669(TR: 11.09142, TS: 10.65213) -> {880680199=546, 2087390487=14}]
[1010824839(TR: 11.09152, TS: 10.71984) -> {880680199=1170, 2087390487=30}]
