[1478981040(TR: 10.51042, TS: 10.08572) -> {880680199=3276, 2087390487=84}]
[2129280757(TR: 10.51052, TS: 10.08574) -> {880680199=2730, 2087390487=70}]
[1775565488(TR: 10.51060, TS: 10.03551) -> {880680199=1092, 2087390487=28}]
[87837773(TR: 10.51060, TS: 10.02166) -> {880680199=1092, 2087390487=28}]
[1725248431(TR: 10.51066, TS: 10.06968) -> {880680199=7068, 2087390487=182}]
[1239921686(TR: 10.51077, TS: 10.08501) -> {880680199=3276, 2087390487=84}]
[128501472(TR: 10.51078, TS: 10.19885) -> {880680199=1092, 2087390487=28}]
[1611775100(TR: 10.51087, TS: 10.02548) -> {880680199=1092, 2087390487=28}]
[798401434(TR: 10.51087, TS: 10.07174) -> {880680199=1638, 2087390487=42}]
[1537598842(TR: 10.51097, TS: 10.12060) -> {880680199=2184, 2087390487=56}]
[444315432(TR: 10.51100, TS: 10.12384) -> {880680199=7068, 2087390487=182}]
[2011437639(TR: 10.51103, TS: 10.06745) -> {880680199=546, 2087390487=14}]
[1844768082(TR: 10.51113, TS: 9.99775) -> {880680199=10812, 2087390487=278}]
[420367267(TR: 10.51129, TS: 10.07521) -> {880680199=2730, 2087390487=70}]
[1577807197(TR: 10.51130, TS: 10.09008) -> {880680199=1638, 2087390487=42}]
[157971193(TR: 10.51135, TS: 10.07161) -> {880680199=6522, 2087390487=168}]
[1136562427(TR: 10.51136, TS: 10.05077) -> {880680199=2730, 2087390487=70}]
[671520892(TR: 10.51139, TS: 10.05083) -> {880680199=9174, 2087390487=236}]
[761424292(TR: 10.51155, TS: 10.09590) -> {880680199=4368, 2087390487=112}]
[2009414475(TR: 10.51157, TS: 10.05473) -> {880680199=6522, 2087390487=168}]
[1078678528(TR: 10.51160, TS: 10.05731) -> {880680199=2184, 2087390487=56}]
[1544741133(TR: 10.51171, TS: 10.09954) -> {880680199=2184, 2087390487=56}]
[1652792418(TR: 10.51172, TS: 10.03809) -> {880680199=6522, 2087390487=168}]
[1011018778(TR: 10.51187, TS: 10.03029) -> {880680199=3276, 2087390487=84}]
[649282758(TR: 10.51197, TS: 10.03717) -> {880680199=3276, 2087390487=84}]
[1843577748(TR: 10.51197, TS: 10.09816) -> {880680199=1638, 2087390487=42}]
[335295174(TR: 10.51209, TS: 10.04260) -> {880680199=1638, 2087390487=42}]
[947207839(TR: 10.51210, TS: 9.99951) -> {880680199=8160, 2087390487=210}]
[81582115(TR: 10.51213, TS: 10.08952) -> {880680199=2730, 2087390487=70}]
[2144945487(TR: 10.51242, TS: 10.07723) -> {880680199=1092, 2087390487=28}]
[230765168(TR: 10.51244, TS: 10.10994) -> {880680199=3822, 2087390487=98}]
[483484817(TR: 10.51248, TS: 10.10108) -> {880680199=8160, 2087390487=210}]
[2116991720(TR: 10.51249, TS: 10.04395) -> {880680199=6522, 2087390487=168}]
[1273523039(TR: 10.51257, TS: 10.16215) -> {880680199=5976, 2087390487=154}]
[1329500896(TR: 10.51259, TS: 10.05532) -> {880680199=1092, 2087390487=28}]
[1482457722(TR: 10.51261, TS: 10.01836) -> {880680199=1638, 2087390487=42}]
[1395563107(TR: 10.51271, TS: 10.07933) -> {880680199=3276, 2087390487=84}]
[1528082890(TR: 10.51272, TS: 10.11165) -> {880680199=1638, 2087390487=42}]
[1611043290(TR: 10.51274, TS: 10.02705) -> {880680199=1092, 2087390487=28}]
[1551204594(TR: 10.51276, TS: 10.04819) -> {880680199=4368, 2087390487=112}]
[2075128989(TR: 10.51281, TS: 9.99172) -> {880680199=8496, 2087390487=219}]
[88834243(TR: 10.51291, TS: 10.02959) -> {880680199=1092, 2087390487=28}]
[1368869361(TR: 10.51298, TS: 10.12067) -> {880680199=3276, 2087390487=84}]
[555032865(TR: 10.51303, TS: 9.99031) -> {880680199=1638, 2087390487=42}]
[622469762(TR: 10.51323, TS: 10.00725) -> {880680199=2184, 2087390487=56}]
[2081350522(TR: 10.51326, TS: 10.01395) -> {880680199=5430, 2087390487=140}]
[389932491(TR: 10.51332, TS: 10.03813) -> {880680199=6522, 2087390487=168}]
[522834468(TR: 10.51344, TS: 10.04828) -> {880680199=1092, 2087390487=28}]
[1800662385(TR: 10.51346, TS: 10.10826) -> {880680199=1638, 2087390487=42}]
[1624098386(TR: 10.51361, TS: 10.05987) -> {880680199=3276, 2087390487=84}]
[405173309(TR: 10.51362, TS: 10.08634) -> {880680199=2184, 2087390487=56}]
[1238318575(TR: 10.51373, TS: 10.10867) -> {880680199=2184, 2087390487=56}]
[1023633858(TR: 10.51377, TS: 10.07935) -> {880680199=7614, 2087390487=196}]
[863164262(TR: 10.51388, TS: 10.10310) -> {880680199=6522, 2087390487=168}]
[417254057(TR: 10.51393, TS: 10.11407) -> {880680199=4368, 2087390487=112}]
[684633112(TR: 10.51401, TS: 10.03566) -> {880680199=3822, 2087390487=98}]
[237346234(TR: 10.51406, TS: 10.09788) -> {880680199=7614, 2087390487=196}]
[726246143(TR: 10.51409, TS: 10.00483) -> {880680199=6630, 2087390487=170}]
[1160556221(TR: 10.51410, TS: 10.13200) -> {880680199=3822, 2087390487=98}]
[417297516(TR: 10.51415, TS: 10.10816) -> {880680199=2730, 2087390487=70}]
[984998528(TR: 10.51418, TS: 10.05300) -> {880680199=2184, 2087390487=56}]
[1552802163(TR: 10.51419, TS: 10.08711) -> {880680199=4368, 2087390487=112}]
[2088039705(TR: 10.51426, TS: 10.07101) -> {880680199=7614, 2087390487=196}]
[527139567(TR: 10.51428, TS: 10.04860) -> {880680199=1638, 2087390487=42}]
[174051936(TR: 10.51441, TS: 10.06739) -> {880680199=2184, 2087390487=56}]
[971648033(TR: 10.51458, TS: 10.05906) -> {880680199=1638, 2087390487=42}]
[1651362360(TR: 10.51460, TS: 10.06287) -> {880680199=4368, 2087390487=112}]
[567427168(TR: 10.51493, TS: 10.03966) -> {880680199=6474, 2087390487=166}]
[1441417960(TR: 10.51493, TS: 10.02698) -> {880680199=2184, 2087390487=56}]
[1024061264(TR: 10.51494, TS: 10.05200) -> {880680199=2184, 2087390487=56}]
[825876163(TR: 10.51497, TS: 10.06387) -> {880680199=3276, 2087390487=84}]
[47925700(TR: 10.51501, TS: 10.03956) -> {880680199=2184, 2087390487=56}]
[90308221(TR: 10.51502, TS: 10.02567) -> {880680199=2730, 2087390487=70}]
[2002838254(TR: 10.51507, TS: 10.18353) -> {880680199=546, 2087390487=14}]
[139519239(TR: 10.51509, TS: 9.97569) -> {880680199=2184, 2087390487=56}]
