[1290959595(TR: 9.55714, TS: 9.16237) -> {880680199=16813054, 2087390487=436962, 1689826712=1811, 289890178=1811, 597022555=1811}]
[700178641(TR: 9.55716, TS: 9.13248) -> {880680199=21174840, 2087390487=550320, 1689826712=2280, 289890178=2280, 597022555=2280}]
[184310980(TR: 9.55717, TS: 9.09009) -> {880680199=9854056, 2087390487=256100, 1689826712=1061, 289890178=1061, 597022555=1061}]
[1526444565(TR: 9.55731, TS: 9.19359) -> {880680199=23797404, 2087390487=618478, 1689826712=2562, 289890178=2562, 597022555=2562}]
[83996291(TR: 9.55739, TS: 9.08089) -> {880680199=19746510, 2087390487=513202, 1689826712=2127, 289890178=2127, 597022555=2127}]
[1942649754(TR: 9.55740, TS: 9.11611) -> {880680199=33594232, 2087390487=873090, 1689826712=3617, 289890178=3617, 597022555=3617}]
[456659803(TR: 9.55749, TS: 9.13193) -> {880680199=17486826, 2087390487=454478, 1689826712=1884, 289890178=1884, 597022555=1884}]
[475296051(TR: 9.55753, TS: 9.12675) -> {880680199=36987776, 2087390487=961286, 1689826712=3982, 289890178=3982, 597022555=3982}]
[338272652(TR: 9.55753, TS: 9.20823) -> {880680199=29128716, 2087390487=757042, 1689826712=3138, 289890178=3138, 597022555=3138}]
[874450488(TR: 9.55773, TS: 9.16077) -> {880680199=24175694, 2087390487=628316, 1689826712=2605, 289890178=2605, 597022555=2605}]
[1877373227(TR: 9.55775, TS: 9.18873) -> {880680199=51195002, 2087390487=1330520, 1689826712=5512, 289890178=5512, 597022555=5512}]
[1342461965(TR: 9.55779, TS: 9.16059) -> {880680199=27070752, 2087390487=703554, 1689826712=2916, 289890178=2916, 597022555=2916}]
[167290432(TR: 9.55784, TS: 9.19668) -> {880680199=19105896, 2087390487=496552, 1689826712=2058, 289890178=2058, 597022555=2058}]
[1171916681(TR: 9.55787, TS: 9.13849) -> {880680199=17546418, 2087390487=456022, 1689826712=1890, 289890178=1890, 597022555=1890}]
[426330416(TR: 9.55789, TS: 9.12809) -> {880680199=14987604, 2087390487=389520, 1689826712=1614, 289890178=1614, 597022555=1614}]
[1801432608(TR: 9.55795, TS: 9.09276) -> {880680199=33923954, 2087390487=881658, 1689826712=3652, 289890178=3652, 597022555=3652}]
[660197293(TR: 9.55797, TS: 9.13377) -> {880680199=33228988, 2087390487=863600, 1689826712=3578, 289890178=3578, 597022555=3578}]
[841642624(TR: 9.55804, TS: 9.10621) -> {880680199=30584096, 2087390487=794856, 1689826712=3292, 289890178=3292, 597022555=3292}]
[1641651516(TR: 9.55809, TS: 9.07700) -> {880680199=31739706, 2087390487=824883, 1689826712=3414, 289890178=3414, 597022555=3414}]
[2002846089(TR: 9.55814, TS: 9.09885) -> {880680199=16813054, 2087390487=436962, 1689826712=1811, 289890178=1811, 597022555=1811}]
[506236015(TR: 9.55814, TS: 9.12439) -> {880680199=37254530, 2087390487=968222, 1689826712=4012, 289890178=4012, 597022555=4012}]
[2146648920(TR: 9.55829, TS: 9.09933) -> {880680199=34807296, 2087390487=904616, 1689826712=3747, 289890178=3747, 597022555=3747}]
[1391329767(TR: 9.55835, TS: 9.19955) -> {880680199=21267590, 2087390487=552730, 1689826712=2290, 289890178=2290, 597022555=2290}]
[771501946(TR: 9.55837, TS: 9.19267) -> {880680199=38080644, 2087390487=989692, 1689826712=4101, 289890178=4101, 597022555=4101}]
[1472827742(TR: 9.55838, TS: 9.13340) -> {880680199=37619774, 2087390487=977712, 1689826712=4051, 289890178=4051, 597022555=4051}]
[851833212(TR: 9.55839, TS: 9.11673) -> {880680199=21540084, 2087390487=559810, 1689826712=2319, 289890178=2319, 597022555=2319}]
[268845050(TR: 9.55841, TS: 9.20797) -> {880680199=19300012, 2087390487=501596, 1689826712=2078, 289890178=2078, 597022555=2078}]
[1548572031(TR: 9.55842, TS: 9.13053) -> {880680199=56946610, 2087390487=1479993, 1689826712=6128, 289890178=6128, 597022555=6128}]
[1192590537(TR: 9.55854, TS: 9.19299) -> {880680199=2622564, 2087390487=68158, 1689826712=282, 289890178=282, 597022555=282}]
[1522936646(TR: 9.55858, TS: 9.08939) -> {880680199=25799838, 2087390487=670520, 1689826712=2778, 289890178=2778, 597022555=2778}]
[2073961995(TR: 9.55858, TS: 9.18971) -> {880680199=18877540, 2087390487=490618, 1689826712=2033, 289890178=2033, 597022555=2033}]
[1296982698(TR: 9.55859, TS: 9.11989) -> {880680199=25686604, 2087390487=667576, 1689826712=2765, 289890178=2765, 597022555=2765}]
[559000830(TR: 9.55866, TS: 9.14514) -> {880680199=26110730, 2087390487=678602, 1689826712=2812, 289890178=2812, 597022555=2812}]
[1244020617(TR: 9.55872, TS: 9.14266) -> {880680199=17685004, 2087390487=459620, 1689826712=1904, 289890178=1904, 597022555=1904}]
[1073931960(TR: 9.55875, TS: 9.14295) -> {880680199=16951640, 2087390487=440560, 1689826712=1825, 289890178=1825, 597022555=1825}]
[2120718112(TR: 9.55875, TS: 9.14008) -> {880680199=22046790, 2087390487=572978, 1689826712=2373, 289890178=2373, 597022555=2373}]
[1383981646(TR: 9.55879, TS: 9.10344) -> {880680199=33764694, 2087390487=877522, 1689826712=3636, 289890178=3636, 597022555=3636}]
[702305791(TR: 9.55881, TS: 9.11486) -> {880680199=31829658, 2087390487=827236, 1689826712=3429, 289890178=3429, 597022555=3429}]
[2117882202(TR: 9.55881, TS: 9.10280) -> {880680199=23025642, 2087390487=598416, 1689826712=2478, 289890178=2478, 597022555=2478}]
[1008736042(TR: 9.55881, TS: 9.15116) -> {880680199=28731596, 2087390487=746718, 1689826712=3094, 289890178=3094, 597022555=3094}]
[24313202(TR: 9.55883, TS: 9.13098) -> {880680199=6225634, 2087390487=161802, 1689826712=671, 289890178=671, 597022555=671}]
[1246376718(TR: 9.55885, TS: 9.08598) -> {880680199=18279782, 2087390487=475082, 1689826712=1969, 289890178=1969, 597022555=1969}]
[1449139612(TR: 9.55892, TS: 9.08434) -> {880680199=35912428, 2087390487=933346, 1689826712=3869, 289890178=3869, 597022555=3869}]
[1782958397(TR: 9.55900, TS: 9.09212) -> {880680199=28828804, 2087390487=749240, 1689826712=3104, 289890178=3104, 597022555=3104}]
[2093621354(TR: 9.55900, TS: 9.08444) -> {880680199=6958998, 2087390487=180862, 1689826712=750, 289890178=750, 597022555=750}]
[1736683198(TR: 9.55901, TS: 9.13739) -> {880680199=24972026, 2087390487=649008, 1689826712=2689, 289890178=2689, 597022555=2689}]
[827970351(TR: 9.55906, TS: 9.12671) -> {880680199=12054148, 2087390487=313280, 1689826712=1298, 289890178=1298, 597022555=1298}]
[1972500504(TR: 9.55912, TS: 9.09460) -> {880680199=16415934, 2087390487=426638, 1689826712=1767, 289890178=1767, 597022555=1767}]
[1492475824(TR: 9.55915, TS: 9.15699) -> {880680199=6666936, 2087390487=173266, 1689826712=717, 289890178=717, 597022555=717}]
[578419790(TR: 9.55917, TS: 9.08459) -> {880680199=16086212, 2087390487=418070, 1689826712=1732, 289890178=1732, 597022555=1732}]
[1564906373(TR: 9.55918, TS: 9.07745) -> {880680199=24927888, 2087390487=647862, 1689826712=2685, 289890178=2685, 597022555=2685}]
[661512461(TR: 9.55927, TS: 9.12297) -> {880680199=45625826, 2087390487=1185773, 1689826712=4909, 289890178=4909, 597022555=4909}]
